2015-07-11,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-07-11,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-07-11,Cheerleader,OMI
2015-07-11,Trap Queen,Fetty Wap
2015-07-11,Shut Up And Dance,WALK THE MOON
2015-07-11,Can't Feel My Face,The Weeknd
2015-07-11,Watch Me,Silento
2015-07-11,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-07-11,Good For You,Selena Gomez Featuring A$AP Rocky
2015-07-11,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-07-11,"Honey, I'm Good.",Andy Grammer
2015-07-11,Want To Want Me,Jason Derulo
2015-07-11,Lean On,Major Lazer & DJ Snake Featuring MO
2015-07-11,Fight Song,Rachel Platten
2015-07-11,Worth It,Fifth Harmony Featuring Kid Ink
2015-07-11,Earned It (Fifty Shades Of Grey),The Weeknd
2015-07-11,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-07-11,Sugar,Maroon 5
2015-07-11,You Know You Like It,DJ Snake & AlunaGeorge
2015-07-11,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-07-11,Talking Body,Tove Lo
2015-07-11,Thinking Out Loud,Ed Sheeran
2015-07-11,The Hills,The Weeknd
2015-07-11,This Summer's Gonna Hurt...,Maroon 5
2015-07-11,Nasty Freestyle,T-Wayne
2015-07-11,Love Me Like You Do,Ellie Goulding
2015-07-11,Girl Crush,Little Big Town
2015-07-11,B**** Better Have My Money,Rihanna
2015-07-11,Flex (Ooh Ooh Ooh),Rich Homie Quan
2015-07-11,Photograph,Ed Sheeran
2015-07-11,Elastic Heart,Sia
2015-07-11,Slow Motion,Trey Songz
2015-07-11,The Night Is Still Young,Nicki Minaj
2015-07-11,Classic Man,Jidenna Featuring Roman GianArthur
2015-07-11,Take Your Time,Sam Hunt
2015-07-11,Budapest,George Ezra
2015-07-11,Kick The Dust Up,Luke Bryan
2015-07-11,Sangria,Blake Shelton
2015-07-11,Shake It Off,Taylor Swift
2015-07-11,Fun,Pitbull Featuring Chris Brown
2015-07-11,Style,Taylor Swift
2015-07-11,Somebody,Natalie La Rose Featuring Jeremih
2015-07-11,Be Real,Kid Ink Featuring DeJ Loaf
2015-07-11,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
2015-07-11,Blank Space,Taylor Swift
2015-07-11,Dear Future Husband,Meghan Trainor
2015-07-11,Uma Thurman,Fall Out Boy
2015-07-11,House Party,Sam Hunt
2015-07-11,Love Me Like You Mean It,Kelsea Ballerini
2015-07-11,Little Toy Guns,Carrie Underwood
2015-07-11,Bright,Echosmith
2015-07-11,Tonight Looks Good On You,Jason Aldean
2015-07-11,Love You Like That,Canaan Smith
2015-07-11,Like A Wrecking Ball,Eric Church
2015-07-11,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn
2015-07-11,Stitches,Shawn Mendes
