kpop_kr_Lyrics,kpop_en_Lyrics
볼때 상상 표정 관리 보고 먼저 입가 조절 고장 정신 사랑 휘파람 꼬시려 남자 안녕 애교 목소리 오빠 오빠 어쩌면 사랑 먼저 입가 조절 고장 정신 사랑 사랑 조절 고장 정신 사랑 우린,weird heart face imagine control facial expression crazy miss anna first want fingers mouth control heart broken heart point pull love baby you talk everyone whistle reduce everyone cut voice call open love first fingers mouth control heart broken heart point pull love baby long time heart love word control heart broken heart point pull love baby hello hello meet talk melon think
그대 질투 집착 사랑 믿음 질투 집착 하루 종일 그대 모습 자꾸 온종일 리지 전화기 마음 잠도 달빛 그대 고백 마음 사랑 노래 사랑 그대 밀고 질투 집착 무얼 질투 집착 사랑 마음 사랑 마음,nice smile jealous make afraid give trust jealous make thinking phone feel sleep night moonlight confess feel feel look heart anxious hold late here love song cool everyday love dance spend night look heart anxious hold late hehehehe wrong bring push pull honest jealous make curious jealous make love everyday know feel everyday everyday know feel
피난처 사랑 터널 속보 길이 태양 사막 목말 어서 사랑 눈물 톡저 은빛 달이 지면 향기 추억 빗물 멀리 사랑 눈물 전에뚜루 바람 처럼 너뚜루 하루하루 추억 목소리 영원 약속 눈물 사랑 눈물 전에뚜루 바람 처럼 너뚜루 하루하루 모습 눈물 사랑 가라 멀리 멀리 사랑 낭떠러지 사랑 감염 계속 읊어대 입술 눈동자 기억 어서 눈물,heart refuge someone black tunnel invisible path desert thirsty person kiss baby night hurry miss guess much night pass silver moon scent memory dream rain kiss baby love kiss baby tear ddurururu ddurudu wind ddurururu ddurudu draw daddy night miss memory hear voice many night kiss baby love kiss baby tear ddurururu ddurudu wind ddurururu ddurudu draw tell road road crazy dangerous cliff tough love poem black eyeskiss baby night hurry kiss baby ease kiss baby tear kiss baby medal
사랑 사랑 그대 상처 주네 사랑 거짓말 거짓말 신경 오늘 헤어지자 사랑 행동 진심 사랑 행동 추억 사랑 사랑 사랑 사랑 그대 기억 이그 지나 지나 기억 그대만 오늘 헤어지자 사랑 행동 진심 사랑 행동 추억 하필 사랑 사랑 사랑 사랑 행동 진심 사랑 행동 추억 사랑,love obvious word easy easy love hard care hard time today please word action truth please please bear action painful memory love obvious word night laugh deep night tired hard time today please word action truth please wait please bear action painful memory catch obvious word love love love please word action truth please wait please bear action painful memory
고개 사랑 게내 사랑 가슴 게바라 습관 눈물 습관 그대 바보 사랑 눈물 한번 그대 기도 바램 가슴 게바라 습관 눈물 습관 그대 바보 사랑 가슴 게바라 게못 게그 매일 몰래 사랑 잡고 사랑,look stay head place person know heart ache habit habit front love fool hard time look pray know wish heart ache habit habit front love fool heart ache know meet everyday want grab place word love turn miss
강남스타일 강남스타일 인간 커피 한잔 여유 품격 심장 반전 사나이 사나이 커피 식기 원샷 사나이 심장 사나이 사나이 까오 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 오정숙 머리 노출 감각 사나이 사나이 완전 사나이 근육 사상 사나이 사나이 까오 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일 강남스타일,langham style langham style warm human woman dignity relaxation coffee woman woman heart heat night woman twist warm drinking coffee heart night kind beautiful beautiful langham style langham style langham style langham style langham style sex lady langham style sex lady girl look quiet play play time woman unites hair time woman sensual woman gentle play crazy time muscle kind beautiful beautiful langham style langham style langham style langham style langham style sex lady langham style sex lady baby baby something baby baby something langham style sex lady langham style sex lady langham style
전류 기절 아슬아슬 사랑 과분 격하 블랙홀 안보 딩동딩 대체 머릿속 점점 점점 크게 한계 전압 사랑 기척 키진 충돌 하진 살짝 격변 세계 의사 선생님 뭔가 가쁘 말문 귓가 딩동딩 머릿속 점점 점점 크게 한계 눈빛 증폭 대체 점점 점점 크게 한계,electric electric shock electric electric shock electric current flow body faint enough love black hole hata hard long king long head beat jump louder limit shock electric shock nananananana electric nananananana electric nananananana electric shock nananananana electric nananananana electric nananananana electric shock please voltage please surprise hesitation collide little world upheaval doctor hata breath head round round jump louder limit shock electric shock nananananana electric nananananana electric nananananana electric shock nananananana electric nananananana electric nananananana electric shock electric electric electric shock energy everything intense laser laser deep heart energy gage gage jump louder limit shock electric shock nananananana electric nananananana electric nananananana electric shock nananananana electric nananananana electric nananananana electric shock nananananana nananananana electric shock
자꾸만 그대만 바보 마음 오늘 척그 눈물 심장 그대 얼굴 그대 이름 온종일 사랑 그대 아픔 세상 대내 그냥 그대 마음 오늘 척그 눈물 심장 그대 얼굴 그대 이름 온종일 사랑 그대 아픔 세상 대내 그냥 그대 웃음 그대만 사랑 그대 아픔 세상 대내 그냥 그대,feel hide blank fool heart afraid pretend today heart explode face name share tough world laugh case hard come heart afraid pretend today heart explode face name share pain difficult world laugh case hard come smile endure endure love share pain difficult world laugh case hard come stand
마주 기억 행여 제발 그날 향수 그날 그대 그대 라그 마주 기억 행여 제발 그날 향수 그날 그대 그대 몰래 도나 그날 그대 그대 그날 그대 대의 그대 해하,hard face memory suffer please place perfume chance night make calm place place please avoid calm balaga balaga balaga balaga balaga balaga balaga balaga hard face memory know please place perfume chance night make calm place place please avoid calm balaga balaga balaga balaga balaga balaga balaga balaga flower chance night make calm place place please calm chance night night spring everything drive crazy sigh
남자 상처 고개 화장 어그 만난 장식품 관심 감정 상처 남자 매일 눈물 자격 남자 남자 상처 눈물 마르 이해 넌그 계속 처음 자리 바보 화가 번만 남자 사랑 남자 보석 일방 일방 관계 남자 상처 눈물 마르 상처 눈물 마르 남자,girl knowyou better enough kind beautiful raise head wrong make hand many time second happy much value person decoration interested emotion wound dream waste tear beautiful need treat enough hurt beautiful beautiful make girlyou better girl person first time spot idiot angry make time enough take love sidepretty girl knowpretty girl jewel blind help relationship happy enough hurt beautifulyou better beautiful pretty enough hurt beautiful beautiful make enough better lovejoy better wonder side wonder enough better lovejoy better happy baby
